Date,Year,Quarter,Day,Month,Sector,International_Acq,Institutional_Fund_Acq,Public_REIT_Acq,Private_Acq,Other_Acq,Undisclosed_Acq,Total_Acq,International_Disp,Institutional_Fund_Disp,Public_REIT_Disp,Private_Disp,Other_Disp,Undisclosed_Disp,Total_Disp,International_Net,Institutional_Fund_Net,Public_REIT_Net,Private_Net,Other_Net,Undisclosed_Net
12/31/01,2001,4,31,12,OFFICE,2662245469,12457680298,10200535470,11140128914,2924342368,774583758,40159516277,5534102706,12632138974,9514696845,8495087398,2156831257,1826659096,40159516277,-2871857237,-174458677,685838626,2645041515,767511112,-1052075339
12/31/02,2002,4,31,12,OFFICE,5542330174,13508592710,5742127906,13272404366,2424461246,329485921,40819402322,4970874148,19517083094,2792977075,8811747935,2788654778,1938065291,40819402322,571456025,-6008490385,2949150832,4460656431,-364193532,-1608579370
12/31/03,2003,4,31,12,OFFICE,5711950556,16438903226,6568596229,16799928147,3023535502,452130172,48995043832,4402957939,21232384071,5491981253,11060574311,4450307884,2356838373,48995043832,1308992617,-4793480845,1076614975,5739353836,-1426772383,-1904708201
12/31/04,2004,4,31,12,OFFICE,10566459502,23375830860,12655392022,26120320776,3213238725,1130806772,77062048659,7793852552,31721326225,8194244996,21333200820,4867809525,3151614541,77062048659,2772606950,-8345495363,4461147027,4787119956,-1654570800,-2020807771
12/31/05,2005,4,31,12,OFFICE,10203001667,43350487204,16606801251,35760832582,3037841068,2045847357,111004811129,7924602323,38738023785,14013175114,39618791592,7417092655,3293125656,111004811129,2278399344,4612463418,2593626137,-3857959011,-4379251587,-1247278300
12/31/06,2006,4,31,12,OFFICE,23568135675,66378905744,14475136607,42025126734,4954301356,1412382282,152813988399,20254753398,43433781083,31534621865,45656573508,8402355883,3531902663,152813988399,3313382277,22945124662,-17059485258,-3631446773,-3448054526,-2119520381
12/31/07,2007,4,31,12,OFFICE,17418862494,125709019406,16665098024,45820203090,4302273316,849114313,210764570642,16030839811,84375739133,56591372305,42973868911,7226101712,3566648769,210764570642,1388022683,41333280273,-39926274282,2846334179,-2923828396,-2717534458
12/31/08,2008,4,31,12,OFFICE,11317583384,17286231725,6079204302,21319865380,5801748540,692393745,62497027076,5353139602,17992406465,5863771814,24240037825,5942310414,3105360956,62497027076,5964443781,-706174741,215432487,-2920172446,-140561874,-2412967210
12/31/09,2009,4,31,12,OFFICE,2242753354,3883928559,1729234785,7683029468,3075113994,490231447,19104291608,1664615825,5368434114,2140051816,6708925783,2535679532,686584538,19104291608,578137529,-1484505554,-410817031,974103686,539434463,-196353091
12/31/10,2010,4,31,12,OFFICE,6631556637,12900298549,8518126411,13761440402,6119746539,359509648,48290678187,6382344237,17828711680,4339670045,15410029406,3276308463,1053614359,48290678187,249212402,-4928413131,4178456367,-1648589004,2843438075,-694104711
