Date,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,International,Institutional / Fund,Public / REITs,Private,Other,Undisclosed,Grand Total,,,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,Acquisitions,Dispositions,Net Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01Q1,"$666,542,075.00","$2,621,461,267.00","$769,859,353.00","$3,386,515,182.00","$778,623,568.00","$290,426,636.00","$8,513,428,082.00","$1,173,567,517.00","$3,134,104,659.00","$756,117,266.00","$2,170,178,258.00","$749,491,875.00","$529,968,506.00","$8,513,428,082.00","($507,025,442.00)","($512,643,392.00)","$13,742,087.00","$1,216,336,924.00","$29,131,693.00","($239,541,870.00)",- ,,01Q1,"$666,542,075.00","($1,173,567,517.00)","($507,025,442.00)","$2,621,461,267.00","($3,134,104,659.00)","($512,643,392.00)","$769,859,353.00","($756,117,266.00)","$13,742,087.00","$3,386,515,182.00","($2,170,178,258.00)","$1,216,336,924.00","$778,623,568.00","($749,491,875.00)","$29,131,693.00","$290,426,636.00","($529,968,506.00)","($239,541,870.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01Q2,"$653,200,000.00","$2,945,284,743.00","$8,060,874,478.00","$2,543,732,044.00","$863,394,677.00","$232,796,122.00","$15,299,282,063.00","$1,238,940,000.00","$3,916,002,563.00","$7,220,604,084.00","$2,162,719,373.00","$358,948,946.00","$402,067,096.00","$15,299,282,063.00","($585,740,000.00)","($970,717,821.00)","$840,270,394.00","$381,012,670.00","$504,445,731.00","($169,270,975.00)",- ,,01Q2,"$653,200,000.00","($1,238,940,000.00)","($585,740,000.00)","$2,945,284,743.00","($3,916,002,563.00)","($970,717,821.00)","$8,060,874,478.00","($7,220,604,084.00)","$840,270,394.00","$2,543,732,044.00","($2,162,719,373.00)","$381,012,670.00","$863,394,677.00","($358,948,946.00)","$504,445,731.00","$232,796,122.00","($402,067,096.00)","($169,270,975.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01Q3,"$170,393,000.00","$3,125,524,686.00","$785,405,449.00","$2,511,345,514.00","$540,931,725.00","$184,080,000.00","$7,317,680,374.00","$1,560,689,014.00","$2,125,905,410.00","$929,357,333.00","$1,775,891,073.00","$429,970,388.00","$495,867,156.00","$7,317,680,374.00","($1,390,296,014.00)","$999,619,275.00","($143,951,884.00)","$735,454,441.00","$110,961,338.00","($311,787,156.00)",- ,,01Q3,"$170,393,000.00","($1,560,689,014.00)","($1,390,296,014.00)","$3,125,524,686.00","($2,125,905,410.00)","$999,619,275.00","$785,405,449.00","($929,357,333.00)","($143,951,884.00)","$2,511,345,514.00","($1,775,891,073.00)","$735,454,441.00","$540,931,725.00","($429,970,388.00)","$110,961,338.00","$184,080,000.00","($495,867,156.00)","($311,787,156.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01Q4,"$1,172,110,394.00","$3,765,409,602.00","$584,396,190.00","$2,698,536,174.00","$741,392,398.00","$67,281,000.00","$9,029,125,758.00","$1,560,906,175.00","$3,456,126,342.00","$608,618,162.00","$2,386,298,694.00","$618,420,048.00","$398,756,338.00","$9,029,125,758.00","($388,795,781.00)","$309,283,261.00","($24,221,971.00)","$312,237,480.00","$122,972,350.00","($331,475,338.00)",- ,,01Q4,"$1,172,110,394.00","($1,560,906,175.00)","($388,795,781.00)","$3,765,409,602.00","($3,456,126,342.00)","$309,283,261.00","$584,396,190.00","($608,618,162.00)","($24,221,971.00)","$2,698,536,174.00","($2,386,298,694.00)","$312,237,480.00","$741,392,398.00","($618,420,048.00)","$122,972,350.00","$67,281,000.00","($398,756,338.00)","($331,475,338.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Q1,"$883,646,648.00","$2,370,016,609.00","$717,940,673.00","$2,396,625,359.00","$428,142,870.00","$29,347,230.00","$6,825,719,389.00","$1,291,626,181.00","$2,638,801,695.00","$262,513,230.00","$1,739,013,659.00","$616,244,164.00","$277,520,458.00","$6,825,719,389.00","($407,979,534.00)","($268,785,086.00)","$455,427,443.00","$657,611,699.00","($188,101,294.00)","($248,173,228.00)",- ,,02Q1,"$883,646,648.00","($1,291,626,181.00)","($407,979,534.00)","$2,370,016,609.00","($2,638,801,695.00)","($268,785,086.00)","$717,940,673.00","($262,513,230.00)","$455,427,443.00","$2,396,625,359.00","($1,739,013,659.00)","$657,611,699.00","$428,142,870.00","($616,244,164.00)","($188,101,294.00)","$29,347,230.00","($277,520,458.00)","($248,173,228.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Q2,"$1,342,684,583.00","$3,195,083,682.00","$862,246,255.00","$3,013,050,973.00","$831,824,322.00","$117,978,631.00","$9,362,868,446.00","$1,525,945,377.00","$3,421,182,944.00","$843,871,364.00","$2,490,402,885.00","$699,005,284.00","$382,460,593.00","$9,362,868,446.00","($183,260,794.00)","($226,099,263.00)","$18,374,892.00","$522,648,088.00","$132,819,038.00","($264,481,961.00)",- ,,02Q2,"$1,342,684,583.00","($1,525,945,377.00)","($183,260,794.00)","$3,195,083,682.00","($3,421,182,944.00)","($226,099,263.00)","$862,246,255.00","($843,871,364.00)","$18,374,892.00","$3,013,050,973.00","($2,490,402,885.00)","$522,648,088.00","$831,824,322.00","($699,005,284.00)","$132,819,038.00","$117,978,631.00","($382,460,593.00)","($264,481,961.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Q3,"$1,857,350,417.00","$2,780,507,332.00","$3,279,502,632.00","$3,189,947,046.00","$522,607,591.00","$92,335,000.00","$11,722,250,018.00","$632,479,894.00","$7,140,602,078.00","$569,695,408.00","$2,130,055,922.00","$532,680,000.00","$716,736,716.00","$11,722,250,018.00","$1,224,870,523.00","($4,360,094,746.00)","$2,709,807,224.00","$1,059,891,125.00","($10,072,409.00)","($624,401,716.00)",- ,,02Q3,"$1,857,350,417.00","($632,479,894.00)","$1,224,870,523.00","$2,780,507,332.00","($7,140,602,078.00)","($4,360,094,746.00)","$3,279,502,632.00","($569,695,408.00)","$2,709,807,224.00","$3,189,947,046.00","($2,130,055,922.00)","$1,059,891,125.00","$522,607,591.00","($532,680,000.00)","($10,072,409.00)","$92,335,000.00","($716,736,716.00)","($624,401,716.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Q4,"$1,458,648,526.00","$5,162,985,087.00","$882,438,346.00","$4,672,780,988.00","$641,886,463.00","$89,825,060.00","$12,908,564,469.00","$1,520,822,696.00","$6,316,496,377.00","$1,116,897,073.00","$2,452,275,469.00","$940,725,330.00","$561,347,524.00","$12,908,564,469.00","($62,174,170.00)","($1,153,511,290.00)","($234,458,727.00)","$2,220,505,519.00","($298,838,867.00)","($471,522,465.00)",- ,,02Q4,"$1,458,648,526.00","($1,520,822,696.00)","($62,174,170.00)","$5,162,985,087.00","($6,316,496,377.00)","($1,153,511,290.00)","$882,438,346.00","($1,116,897,073.00)","($234,458,727.00)","$4,672,780,988.00","($2,452,275,469.00)","$2,220,505,519.00","$641,886,463.00","($940,725,330.00)","($298,838,867.00)","$89,825,060.00","($561,347,524.00)","($471,522,465.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Q1,"$1,558,587,261.00","$3,024,710,645.00","$1,042,035,833.00","$2,894,247,269.00","$667,425,889.00","$103,777,500.00","$9,290,784,398.00","$549,554,000.00","$3,232,656,454.00","$1,026,850,929.00","$2,472,745,951.00","$1,453,997,026.00","$554,980,037.00","$9,290,784,398.00","$1,009,033,261.00","($207,945,809.00)","$15,184,904.00","$421,501,318.00","($786,571,137.00)","($451,202,537.00)",- ,,03Q1,"$1,558,587,261.00","($549,554,000.00)","$1,009,033,261.00","$3,024,710,645.00","($3,232,656,454.00)","($207,945,809.00)","$1,042,035,833.00","($1,026,850,929.00)","$15,184,904.00","$2,894,247,269.00","($2,472,745,951.00)","$421,501,318.00","$667,425,889.00","($1,453,997,026.00)","($786,571,137.00)","$103,777,500.00","($554,980,037.00)","($451,202,537.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Q2,"$813,153,465.00","$2,633,729,993.00","$1,431,738,756.00","$3,733,515,269.00","$841,009,526.00","$19,379,000.00","$9,472,526,008.00","$703,433,057.00","$4,492,329,356.00","$684,265,428.00","$2,229,548,948.00","$626,742,102.00","$736,207,117.00","$9,472,526,008.00","$109,720,408.00","($1,858,599,364.00)","$747,473,328.00","$1,503,966,321.00","$214,267,423.00","($716,828,117.00)",- ,,03Q2,"$813,153,465.00","($703,433,057.00)","$109,720,408.00","$2,633,729,993.00","($4,492,329,356.00)","($1,858,599,364.00)","$1,431,738,756.00","($684,265,428.00)","$747,473,328.00","$3,733,515,269.00","($2,229,548,948.00)","$1,503,966,321.00","$841,009,526.00","($626,742,102.00)","$214,267,423.00","$19,379,000.00","($736,207,117.00)","($716,828,117.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
