YR/QTR,Total - Individual,Total - Portfolio,Total - Entity,Total - Total,Office - Individual,Office - Portfolio,Office - Entity,Office - Total,Industrial - Individual,Industrial - Portfolio,Industrial - Entity,Industrial - Total,Retail - Individual,Retail - Portfolio,Retail - Entity,Retail - Total,Multifamily - Individual,Multifamily - Portfolio,Multifamily - Entity,Multifamily - Total,Hotel - Individual,Hotel - Portfolio,Hotel - Entity,Hotel - Total,Senior Housing - Individual,Senior Housing - Portfolio,Senior Housing - Entity,Senior Housing - Total,Development - Individual,Development - Portfolio,Development - Entity,Development - Total
2001,"68,110,849,172","17,079,418,674","7,699,360,000","92,889,627,846","29,341,591,475","4,592,278,194","6,225,646,609","40,159,516,277","10,885,423,972","4,551,538,972","1,042,284,716","16,479,247,660","9,502,731,462","4,756,654,839","431,428,675","14,690,814,976","18,381,102,263","3,178,946,669",0,"21,560,048,932",0,0,0,0,0,0,0,0,0,0,0,0
2002,"83,824,708,365","23,293,596,425","2,416,920,886","109,535,225,676","36,479,676,213","4,208,786,354","130,939,754","40,819,402,322","9,603,503,393","4,234,425,570","56,000,000","13,893,928,963","17,436,306,498","10,561,571,727","1,152,986,045","29,150,864,270","20,305,222,260","4,288,812,774","1,076,995,087","25,671,030,121",0,0,0,0,0,0,0,0,0,0,0,0
2003,"106,478,884,001","24,833,519,318","3,939,865,761","135,252,269,079","41,573,950,439","7,421,093,393",0,"48,995,043,833","13,114,156,455","3,008,622,166","21,062,000","16,143,840,620","24,409,229,326","8,832,752,450","3,782,803,761","37,024,785,537","27,381,547,781","5,571,051,309","136,000,000","33,088,599,089",0,0,0,0,0,0,0,0,0,0,0,0
2004,"159,951,007,462","40,555,819,776","18,443,041,433","218,949,868,672","60,691,910,513","14,653,662,279","1,716,475,867","77,062,048,659","17,789,055,359","5,678,864,935","2,202,022,634","25,669,942,927","35,429,195,644","12,425,578,892","14,524,542,933","62,379,317,468","46,040,845,946","7,797,713,671",0,"53,838,559,617",0,0,0,0,0,0,0,0,0,0,0,0
2005,"274,860,166,801","75,050,342,309","21,124,095,438","371,034,604,549","85,793,339,025","19,945,746,125","5,265,725,978","111,004,811,128","31,562,335,420","12,780,924,653","5,485,946,300","49,829,206,373","42,863,967,944","14,868,543,943","1,200,000,000","58,932,511,888","78,637,165,945","16,267,886,282","5,087,897,625","99,992,949,852","18,307,278,679","9,161,879,520","3,979,943,893","31,449,102,092",0,0,0,0,"17,696,079,788","2,025,361,785","104,581,642","19,826,023,215"
2006,"302,158,774,199","82,372,042,586","48,987,198,727","433,518,015,512","103,779,731,059","27,002,473,739","22,031,783,600","152,813,988,398","36,533,234,920","10,915,589,524","4,890,833,177","52,339,657,621","43,842,306,204","12,076,142,510","8,478,778,212","64,397,226,926","74,319,619,371","21,982,772,242","3,711,689,148","100,014,080,760","23,555,435,073","9,521,985,846","9,716,865,104","42,794,286,023",0,0,0,0,"20,128,447,572","873,078,725","157,249,486","21,158,775,782"
2007,"292,852,826,982","127,253,564,604","148,983,897,840","569,090,289,426","103,113,615,673","54,099,350,260","53,551,604,708","210,764,570,642","37,869,855,323","19,239,677,227","4,171,385,935","61,280,918,485","42,926,768,070","16,588,912,681","21,660,810,641","81,176,491,393","60,263,934,124","22,886,928,811","21,463,783,119","104,614,646,054","20,303,578,215","12,462,057,095","48,089,313,437","80,854,948,747",0,0,0,0,"28,375,075,577","1,976,638,529","47,000,000","30,398,714,106"
2008,"136,538,439,629","35,691,536,436","5,285,181,276","177,515,157,342","47,207,941,167","12,045,568,553","3,243,517,356","62,497,027,076","20,334,264,714","5,818,751,936","231,624,786","26,384,641,435","21,395,397,702","4,181,376,114","595,966,687","26,172,740,503","31,586,334,511","9,875,299,763","1,214,072,448","42,675,706,722","8,079,586,045","3,499,143,937",0,"11,578,729,983",0,0,0,0,"7,934,915,490","271,396,133",0,"8,206,311,623"
2009,"57,362,248,266","13,778,917,978","905,077,884","72,046,244,128","16,665,624,840","2,058,461,622","380,205,146","19,104,291,608","9,084,143,965","1,268,332,202",0,"10,352,476,168","10,140,698,862","6,331,196,365",0,"16,471,895,227","15,066,002,100","1,992,617,356","230,872,738","17,289,492,194","3,011,707,421","220,340,033",0,"3,232,047,454","920,083,382","1,871,220,399","294,000,000","3,085,303,781","2,473,987,696","36,750,000",0,"2,510,737,696"
2010,"111,667,968,954","37,336,849,696","6,048,599,953","155,053,418,603","38,999,048,016","8,171,932,775","1,119,697,396","48,290,678,187","12,432,589,720","8,702,685,774","14,592,282","21,149,867,776","17,221,041,836","6,939,443,196","7,510,318","24,167,995,351","29,360,359,754","6,462,263,385","5,233,548","35,827,856,688","8,398,027,159","2,550,464,691","3,868,399,957","14,816,891,807","1,364,757,688","3,841,569,715","1,033,166,452","6,239,493,855","3,892,144,780","668,490,159",0,"4,560,634,939"
