ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
HST,LODGING,3/31/08,2/25/20,4/28/08,713791.97,62000000,11763000000,10.367,-150000000,385000000,739000000,61000000,1.122,5618000000,0,124000000,0,0.058,0.2,130000000,254000000,0.24,54000000,0.11,0.11,5414000000,14298829455,14,9.327,79000000,0.151,319000000,0.302,0,76000000,16996000000,0,202000000,6072000000,9065829455,-171000000,0,-35000000,-4000000,-209000000,-264000000,-136000000,0,229000000,0,61000000,59000000,-1000000,0,0.056,186000000,133000000,232000000,1.818,1.675,15.314,15.363,10695000000,2000000,17.36,1.664,1.664,92000000,-424000000,1058000000,0,0,69000000,1,522225199,522225199,,2.026,11763000000,0,-7000000,0,22.525,2008,3,1
DRH,LODGING,3/31/08,3/1/20,4/29/08,201736.36,0,2130325000,11.205,-21542000,53564000,96541000,5177000,1.006,837846000,20762000,16719000,0,0.074,0.25,12149000,28868000,0.217,1454000,0.05,0.05,1061967000,2033376538,17,10.332,-1926000,-0.02,36322000,0.273,0,10695000,2914607000,0,0,1068358000,1249094538,-10699000,0,-344000,13320000,-22819000,-9843000,-20472000,0,19616000,0,5177000,5177000,0,0,0.039,24611000,11711000,100103000,5,1.176,18.728,19.101,1946975000,0,13.18,1.759,1.759,66780000,-84921000,132863000,0,671000,2959000,1,94771968,94771968,,1.402,2130325000,0,-3723000,0,22.478,2008,3,1
FRT,STRIP CENTER,3/31/08,2/11/20,5/7/08,76377.66,-540000,2979130000,18.924,-36230000,27654000,39890000,29986000,1.649,1636457000,0,25400000,10731000,0.029,0.61,54339000,79739000,0.627,29986000,0.51,0.51,1112489000,6432982961,21,15.551,16190000,0.275,87333000,0.686,0,24353000,4587933000,0,70249000,1834361000,4824179961,-23037000,95000,2228000,-2039000,-35909000,-36642000,-38815000,-684000,52420000,0,29986000,29851000,0,0,0.235,32334000,54999000,95757000,1.196,4.336,23.9,22.986,2715998000,135000,82.06,9.833,9.833,64588000,-413376000,127223000,0,0,6934000,1,58788447,58788447,,2.164,2979130000,0,0,0,50.675,2008,3,1
PEAK,HEALTH CARE,3/31/08,2/13/20,4/29/08,544970.26,-55897000,12500064000,18.432,-31479000,183664000,51428000,50412000,2.042,7570940000,68387000,82358000,0,0.049,0,149027000,231385000,0.918,52657000,0.21,0.21,3995638000,16019651925,18,13.701,100196000,0.462,200749000,0.796,598167000,96370000,19289173000,0,1991767000,8158679000,8632375925,57731000,-472000,4243000,54829000,-104370000,-52625000,-21319000,1553000,131675000,0,50412000,45129000,0,0,0.179,99814000,100935000,249714000,0,2.16,18.25,16.333,8940632000,5283000,36.75,8.66,7.992,32849000,-174878000,252177000,0,3526000,20538000,1,234894583,216773000,217663000,1.163,11901897000,0,2245000,0,54.905,2008,3,1
AHT,LODGING,3/31/08,3/13/20,5/8/08,12993.2,-252000,4357128000,10.566,-32645000,141159000,222217000,6185000,2.317,2712726000,0,46326000,0,0.146,0.21,46216000,92542000,0.294,6595000,-0.01,-0.01,1255834000,3259979839,17,8.447,-5330000,-0.045,92273000,0.293,3144000,39621000,6925551000,4107000,136019000,2909157000,688412839,2289000,61358000,-4594000,13637000,-35031000,-30374000,5348000,-23365000,27315000,-136000,6185000,-833000,-2267000,0,-0.003,53274000,38999000,130026000,-21,0.548,-204.824,-191.667,3824097000,7018000,5.75,0.532,0.528,123422000,-179639000,314490000,0,1609000,7704000,1,119723972,118855000,118855000,2.646,4353984000,0,410000,0,36.633,2008,3,1
CDR,STRIP CENTER,3/31/08,2/14/20,5/6/08,94122.99,-129000,1629418000,12.408,-29956000,33606000,12765000,5079000,1.803,903691000,0,11529000,0,0.07,0,16463000,27992000,0.648,5079000,0.07,0.07,551617000,1444075038,22,13.298,-17745000,-0.399,30431000,0.704,0,11384000,2499503000,0,3775000,994744000,573990038,-5873000,-17454000,0,38653000,-10461000,30388000,-48472000,0,12211000,0,5079000,3112000,-280000,0,0.072,13720000,16711000,23253000,0,1.041,42.364,41.645,1531594000,1967000,12.91,3.581,3.58,21089000,-104406000,43196000,0,734000,2191000,1,44460886,44458000,44459000,0.972,1629418000,0,0,0,36.651,2008,3,1
CUZ,OFFICE,3/31/08,4/30/20,5/12/08,148768.4,-8171000,1623000000,41.67,-56977000,61376000,14624000,5652000,1.96,793882000,5988000,11439000,0,0.054,0,8710000,20149000,0.448,2435000,0.16,0.16,532837000,2225122782,77,31.167,-46115000,-3.606,30351000,0.675,0,6275000,2355506000,0,207534000,1044303000,1492616782,41083000,-8616000,340000,117693000,-18974000,94627000,-64406000,-19000,10862000,0,5652000,1839000,0,0,0.041,27579000,2772000,72650000,0,2.801,292.441,272,1221040000,3813000,108.8,8.624,8.038,56718000,23151000,44975000,0,998000,14385000,1,13718904,12787000,12917500,3.517,1623000000,0,-3217000,0,126.926,2008,3,1
OHI,HEALTH CARE,3/31/08,3/1/20,4/28/08,236761.13,0,1183727000,8.583,-10534000,5270000,0,17234000,1.008,568705000,0,9396000,0,0.063,0.3,27419000,36815000,0.901,17234000,0.21,0.21,589489000,1809133370,17,12.514,17943000,0.261,40866000,1,0,10185000,1747162000,0,47474000,594238000,1245698370,-463000,0,8009000,-5000000,-22439000,-19430000,-9510000,1024000,28477000,0,17234000,14753000,-446000,0,0.361,14004000,26862000,0,1.429,2.113,22.234,22.222,1036583000,2481000,18,7.892,7.832,65297000,-370302000,40866000,0,526000,3094000,1,69205465,68680000,68747000,0.595,1183727000,0,0,73000,17.235,2008,3,1
WPC,NET LEASE,3/31/08,5/2/20,5/9/08,178445.14,6068000,1126088000,16.557,-2832000,17625000,14813000,17101000,0.721,343058000,0,6588000,0,0.056,0.48,29288000,35876000,0.625,24245000,0.44,0.43,643658000,1424064260,9,7.668,7927000,0.204,42559000,0.742,98022000,5043000,1353499000,0,346345000,463812000,1098631260,5488000,0,5776000,15941000,-29581000,-7805000,2306000,1313000,10759000,228000,17101000,17101000,-39000,0,0.298,21504000,21055000,56174000,1.091,1.707,12.842,13.453,588313000,0,30,3.996,4.242,48496000,-119341000,57372000,0,2106000,15413000,1,36621042,38876136,40202798,1.476,1028066000,0,7144000,64580000,26.445,2008,3,1
HT,LODGING,3/31/08,2/26/20,5/9/08,43435.55,-260000,1118751000,31.117,-38288000,12608000,36589000,-2879000,2.341,721967000,0,9967000,0,0.074,0.72,7898000,17865000,0.321,-2879000,-0.4,-0.4,320572000,1110318123,18,11.016,-34616000,-3.36,19073000,0.343,5578000,10777000,1822532000,0,49798000,750463000,400959123,281000,816000,0,56772000,-8707000,46794000,-50185000,-12700000,3672000,0,-2879000,-4079000,0,0,-0.073,11525000,7548000,18808000,-1.8,1.251,27.835,27.028,930589000,1200000,38.92,1.59,1.59,82954000,-78632000,55662000,0,314000,1903000,1,10302136,10302136,10222785,5.403,1113173000,0,0,0,108.053,2008,3,1
