Ticker,Sector,Holder,Shares,Date Reported,% Out,Value,Rank,Ticker-Rank,Value/Share
AVB,APARTMENT,"Vanguard Group, Inc.",22097202,3/30/21,0.1583,4077154741,0,AVB-0,184.51
AVB,APARTMENT,Blackrock Inc.,13865871,3/30/21,0.0993,2558391858,1,AVB-1,184.51
AVB,APARTMENT,State Street Corporation,8301360,3/30/21,0.0595,1531683933,2,AVB-2,184.51
AVB,APARTMENT,"Principal Financial Group, Inc.",4965275,3/30/21,0.0356,916142890,3,AVB-3,184.51
AVB,APARTMENT,JP Morgan Chase & Company,4521782,3/30/21,0.0324,834313996,4,AVB-4,184.51
AVB,APARTMENT,Norges Bank Investment Management,3730665,12/30/20,0.0267,598510585,5,AVB-5,160.43
AVB,APARTMENT,Price (T.Rowe) Associates Inc,3282494,3/30/21,0.0235,605652967,6,AVB-6,184.51
AVB,APARTMENT,PGGM Investments,3042467,3/30/21,0.0218,561365586,7,AVB-7,184.51
AVB,APARTMENT,"Geode Capital Management, LLC",2811177,3/30/21,0.0201,518690268,8,AVB-8,184.51
AVB,APARTMENT,Invesco Ltd.,2785437,3/30/21,0.02,513940980,9,AVB-9,184.51
EQR,APARTMENT,"Vanguard Group, Inc.",57730764,3/30/21,0.1544,4135254625,0,EQR-0,71.63
EQR,APARTMENT,Blackrock Inc.,37700811,3/30/21,0.1008,2700509091,1,EQR-1,71.63
EQR,APARTMENT,Norges Bank Investment Management,28825495,12/30/20,0.0771,1708775343,2,EQR-2,59.28
EQR,APARTMENT,State Street Corporation,21126599,3/30/21,0.0565,1513298286,3,EQR-3,71.63
EQR,APARTMENT,Price (T.Rowe) Associates Inc,18939314,3/30/21,0.0506,1356623061,4,EQR-4,71.63
EQR,APARTMENT,Apg Asset Management Us Inc.,12637000,3/30/21,0.0338,905188310,5,EQR-5,71.63
EQR,APARTMENT,Macquarie Group Limited,10099834,3/30/21,0.027,723451109,6,EQR-6,71.63
EQR,APARTMENT,Bank of America Corporation,8111322,3/30/21,0.0217,581013994,7,EQR-7,71.63
EQR,APARTMENT,"Geode Capital Management, LLC",6723904,3/30/21,0.018,481633243,8,EQR-8,71.63
EQR,APARTMENT,Northern Trust Corporation,6636082,3/30/21,0.0177,475342553,9,EQR-9,71.63
ESS,APARTMENT,"Vanguard Group, Inc.",10272897,3/30/21,0.158,2792584320,0,ESS-0,271.84
ESS,APARTMENT,Blackrock Inc.,6625487,3/30/21,0.1019,1801072386,1,ESS-1,271.84
ESS,APARTMENT,Cohen & Steers Inc.,5195289,3/30/21,0.0799,1412287361,2,ESS-2,271.84
